Barcode	Count	Location
ACC1prt	12103	fQsequences/12-0017-S_S29/ACC1prt.fastq
ADP1prt	24408	fQsequences/12-0017-S_S29/ADP1prt.fastq
MPIprt	20593	fQsequences/12-0017-S_S29/MPIprt.fastq
SYA1prt	20833	fQsequences/12-0017-S_S29/SYA1prt.fastq
VPS13prt	15935	fQsequences/12-0017-S_S29/VPS13prt.fastq
ZWF1bprt	18206	fQsequences/12-0017-S_S29/ZWF1bprt.fastq
unmatched	2962	fQsequences/12-0017-S_S29/unmatched.fastq
total	136709
Barcode	Count	Location
AAT1apft	16568	fQsequences/12-0039_S10/AAT1apft.fastq
ACC1pft	9290	fQsequences/12-0039_S10/ACC1pft.fastq
ADP1pft	18955	fQsequences/12-0039_S10/ADP1pft.fastq
MPIpft	18710	fQsequences/12-0039_S10/MPIpft.fastq
SYA1pft	16390	fQsequences/12-0039_S10/SYA1pft.fastq
VPS13pft	12870	fQsequences/12-0039_S10/VPS13pft.fastq
ZWF1bpft	14297	fQsequences/12-0039_S10/ZWF1bpft.fastq
unmatched	1952	fQsequences/12-0039_S10/unmatched.fastq
total	109032
Barcode	Count	Location
AAT1aprt	16440	fQsequences/12-0039_S10/AAT1aprt.fastq
ACC1prt	9156	fQsequences/12-0039_S10/ACC1prt.fastq
ADP1prt	18840	fQsequences/12-0039_S10/ADP1prt.fastq
MPIprt	18631	fQsequences/12-0039_S10/MPIprt.fastq
SYA1prt	16250	fQsequences/12-0039_S10/SYA1prt.fastq
VPS13prt	12896	fQsequences/12-0039_S10/VPS13prt.fastq
ZWF1bprt	14239	fQsequences/12-0039_S10/ZWF1bprt.fastq
unmatched	2580	fQsequences/12-0039_S10/unmatched.fastq
total	109032
Barcode	Count	Location
AAT1apft	25422	fQsequences/12-0039-S_S30/AAT1apft.fastq
ACC1pft	13712	fQsequences/12-0039-S_S30/ACC1pft.fastq
ADP1pft	27423	fQsequences/12-0039-S_S30/ADP1pft.fastq
MPIpft	23700	fQsequences/12-0039-S_S30/MPIpft.fastq
SYA1pft	24022	fQsequences/12-0039-S_S30/SYA1pft.fastq
VPS13pft	19461	fQsequences/12-0039-S_S30/VPS13pft.fastq
ZWF1bpft	21896	fQsequences/12-0039-S_S30/ZWF1bpft.fastq
unmatched	2822	fQsequences/12-0039-S_S30/unmatched.fastq
total	158458
Barcode	Count	Location
AAT1aprt	25213	fQsequences/12-0039-S_S30/AAT1aprt.fastq
ACC1prt	13570	fQsequences/12-0039-S_S30/ACC1prt.fastq
ADP1prt	27272	fQsequences/12-0039-S_S30/ADP1prt.fastq
MPIprt	23744	fQsequences/12-0039-S_S30/MPIprt.fastq
SYA1prt	23922	fQsequences/12-0039-S_S30/SYA1prt.fastq
VPS13prt	19525	fQsequences/12-0039-S_S30/VPS13prt.fastq
ZWF1bprt	21755	fQsequences/12-0039-S_S30/ZWF1bprt.fastq
unmatched	3457	fQsequences/12-0039-S_S30/unmatched.fastq
total	158458
Barcode	Count	Location
AAT1apft	11832	fQsequences/12-0046_S1/AAT1apft.fastq
ACC1pft	9673	fQsequences/12-0046_S1/ACC1pft.fastq
ADP1pft	11544	fQsequences/12-0046_S1/ADP1pft.fastq
MPIpft	11743	fQsequences/12-0046_S1/MPIpft.fastq
SYA1pft	10180	fQsequences/12-0046_S1/SYA1pft.fastq
VPS13pft	12022	fQsequences/12-0046_S1/VPS13pft.fastq
ZWF1bpft	15313	fQsequences/12-0046_S1/ZWF1bpft.fastq
unmatched	1511	fQsequences/12-0046_S1/unmatched.fastq
total	83818
Barcode	Count	Location
AAT1aprt	11741	fQsequences/12-0046_S1/AAT1aprt.fastq
ACC1prt	9538	fQsequences/12-0046_S1/ACC1prt.fastq
ADP1prt	11481	fQsequences/12-0046_S1/ADP1prt.fastq
MPIprt	11719	fQsequences/12-0046_S1/MPIprt.fastq
SYA1prt	10125	fQsequences/12-0046_S1/SYA1prt.fastq
VPS13prt	12036	fQsequences/12-0046_S1/VPS13prt.fastq
ZWF1bprt	15215	fQsequences/12-0046_S1/ZWF1bprt.fastq
unmatched	1963	fQsequences/12-0046_S1/unmatched.fastq
total	83818
Barcode	Count	Location
AAT1apft	17897	fQsequences/12-0046-S_S21/AAT1apft.fastq
ACC1pft	10469	fQsequences/12-0046-S_S21/ACC1pft.fastq
ADP1pft	21425	fQsequences/12-0046-S_S21/ADP1pft.fastq
MPIpft	18036	fQsequences/12-0046-S_S21/MPIpft.fastq
SYA1pft	18529	fQsequences/12-0046-S_S21/SYA1pft.fastq
VPS13pft	15046	fQsequences/12-0046-S_S21/VPS13pft.fastq
ZWF1bpft	16653	fQsequences/12-0046-S_S21/ZWF1bpft.fastq
unmatched	2125	fQsequences/12-0046-S_S21/unmatched.fastq
total	120180
Barcode	Count	Location
AAT1aprt	17811	fQsequences/12-0046-S_S21/AAT1aprt.fastq
ACC1prt	10294	fQsequences/12-0046-S_S21/ACC1prt.fastq
ADP1prt	21324	fQsequences/12-0046-S_S21/ADP1prt.fastq
MPIprt	18025	fQsequences/12-0046-S_S21/MPIprt.fastq
SYA1prt	18426	fQsequences/12-0046-S_S21/SYA1prt.fastq
VPS13prt	15041	fQsequences/12-0046-S_S21/VPS13prt.fastq
ZWF1bprt	16611	fQsequences/12-0046-S_S21/ZWF1bprt.fastq
unmatched	2648	fQsequences/12-0046-S_S21/unmatched.fastq
total	120180
Barcode	Count	Location
AAT1apft	18856	fQsequences/12-0049_S2/AAT1apft.fastq
ACC1pft	12670	fQsequences/12-0049_S2/ACC1pft.fastq
ADP1pft	22556	fQsequences/12-0049_S2/ADP1pft.fastq
MPIpft	24591	fQsequences/12-0049_S2/MPIpft.fastq
SYA1pft	22120	fQsequences/12-0049_S2/SYA1pft.fastq
VPS13pft	15247	fQsequences/12-0049_S2/VPS13pft.fastq
ZWF1bpft	19712	fQsequences/12-0049_S2/ZWF1bpft.fastq
unmatched	2464	fQsequences/12-0049_S2/unmatched.fastq
total	138216
Barcode	Count	Location
AAT1aprt	18633	fQsequences/12-0049_S2/AAT1aprt.fastq
ACC1prt	12452	fQsequences/12-0049_S2/ACC1prt.fastq
ADP1prt	22359	fQsequences/12-0049_S2/ADP1prt.fastq
MPIprt	24527	fQsequences/12-0049_S2/MPIprt.fastq
SYA1prt	21918	fQsequences/12-0049_S2/SYA1prt.fastq
VPS13prt	15197	fQsequences/12-0049_S2/VPS13prt.fastq
ZWF1bprt	19498	fQsequences/12-0049_S2/ZWF1bprt.fastq
unmatched	3632	fQsequences/12-0049_S2/unmatched.fastq
total	138216
Barcode	Count	Location
AAT1apft	22109	fQsequences/12-0049-S_S22/AAT1apft.fastq
ACC1pft	16975	fQsequences/12-0049-S_S22/ACC1pft.fastq
ADP1pft	28648	fQsequences/12-0049-S_S22/ADP1pft.fastq
MPIpft	29854	fQsequences/12-0049-S_S22/MPIpft.fastq
SYA1pft	27463	fQsequences/12-0049-S_S22/SYA1pft.fastq
VPS13pft	19634	fQsequences/12-0049-S_S22/VPS13pft.fastq
ZWF1bpft	24404	fQsequences/12-0049-S_S22/ZWF1bpft.fastq
unmatched	2976	fQsequences/12-0049-S_S22/unmatched.fastq
total	172063
Barcode	Count	Location
AAT1aprt	21901	fQsequences/12-0049-S_S22/AAT1aprt.fastq
ACC1prt	16708	fQsequences/12-0049-S_S22/ACC1prt.fastq
ADP1prt	28448	fQsequences/12-0049-S_S22/ADP1prt.fastq
MPIprt	29746	fQsequences/12-0049-S_S22/MPIprt.fastq
SYA1prt	27241	fQsequences/12-0049-S_S22/SYA1prt.fastq
VPS13prt	19671	fQsequences/12-0049-S_S22/VPS13prt.fastq
ZWF1bprt	24263	fQsequences/12-0049-S_S22/ZWF1bprt.fastq
unmatched	4085	fQsequences/12-0049-S_S22/unmatched.fastq
total	172063
Barcode	Count	Location
AAT1apft	12884	fQsequences/12-0267_S6/AAT1apft.fastq
ACC1pft	7942	fQsequences/12-0267_S6/ACC1pft.fastq
ADP1pft	14103	fQsequences/12-0267_S6/ADP1pft.fastq
MPIpft	15839	fQsequences/12-0267_S6/MPIpft.fastq
SYA1pft	14522	fQsequences/12-0267_S6/SYA1pft.fastq
VPS13pft	10411	fQsequences/12-0267_S6/VPS13pft.fastq
ZWF1bpft	13635	fQsequences/12-0267_S6/ZWF1bpft.fastq
unmatched	1597	fQsequences/12-0267_S6/unmatched.fastq
total	90933
Barcode	Count	Location
AAT1aprt	12762	fQsequences/12-0267_S6/AAT1aprt.fastq
ACC1prt	7853	fQsequences/12-0267_S6/ACC1prt.fastq
ADP1prt	14103	fQsequences/12-0267_S6/ADP1prt.fastq
MPIprt	15842	fQsequences/12-0267_S6/MPIprt.fastq
SYA1prt	14399	fQsequences/12-0267_S6/SYA1prt.fastq
VPS13prt	10428	fQsequences/12-0267_S6/VPS13prt.fastq
ZWF1bprt	13533	fQsequences/12-0267_S6/ZWF1bprt.fastq
unmatched	2013	fQsequences/12-0267_S6/unmatched.fastq
total	90933
Barcode	Count	Location
AAT1apft	21620	fQsequences/12-0267-S_S26/AAT1apft.fastq
ACC1pft	11992	fQsequences/12-0267-S_S26/ACC1pft.fastq
ADP1pft	24090	fQsequences/12-0267-S_S26/ADP1pft.fastq
MPIpft	25564	fQsequences/12-0267-S_S26/MPIpft.fastq
SYA1pft	22340	fQsequences/12-0267-S_S26/SYA1pft.fastq
VPS13pft	16049	fQsequences/12-0267-S_S26/VPS13pft.fastq
ZWF1bpft	19822	fQsequences/12-0267-S_S26/ZWF1bpft.fastq
unmatched	2566	fQsequences/12-0267-S_S26/unmatched.fastq
total	144043
Barcode	Count	Location
AAT1aprt	21400	fQsequences/12-0267-S_S26/AAT1aprt.fastq
ACC1prt	11815	fQsequences/12-0267-S_S26/ACC1prt.fastq
ADP1prt	23946	fQsequences/12-0267-S_S26/ADP1prt.fastq
MPIprt	25476	fQsequences/12-0267-S_S26/MPIprt.fastq
SYA1prt	22160	fQsequences/12-0267-S_S26/SYA1prt.fastq
VPS13prt	16025	fQsequences/12-0267-S_S26/VPS13prt.fastq
ZWF1bprt	19683	fQsequences/12-0267-S_S26/ZWF1bprt.fastq
unmatched	3538	fQsequences/12-0267-S_S26/unmatched.fastq
total	144043
Barcode	Count	Location
AAT1apft	20578	fQsequences/12-0424_S13/AAT1apft.fastq
ACC1pft	12267	fQsequences/12-0424_S13/ACC1pft.fastq
ADP1pft	21394	fQsequences/12-0424_S13/ADP1pft.fastq
MPIpft	19820	fQsequences/12-0424_S13/MPIpft.fastq
SYA1pft	17652	fQsequences/12-0424_S13/SYA1pft.fastq
VPS13pft	14258	fQsequences/12-0424_S13/VPS13pft.fastq
ZWF1bpft	16235	fQsequences/12-0424_S13/ZWF1bpft.fastq
unmatched	2119	fQsequences/12-0424_S13/unmatched.fastq
total	124323
Barcode	Count	Location
AAT1aprt	20384	fQsequences/12-0424_S13/AAT1aprt.fastq
ACC1prt	12098	fQsequences/12-0424_S13/ACC1prt.fastq
ADP1prt	21321	fQsequences/12-0424_S13/ADP1prt.fastq
MPIprt	19809	fQsequences/12-0424_S13/MPIprt.fastq
SYA1prt	17480	fQsequences/12-0424_S13/SYA1prt.fastq
VPS13prt	14296	fQsequences/12-0424_S13/VPS13prt.fastq
ZWF1bprt	16130	fQsequences/12-0424_S13/ZWF1bprt.fastq
unmatched	2805	fQsequences/12-0424_S13/unmatched.fastq
total	124323
Barcode	Count	Location
AAT1apft	2885	fQsequences/12-0424-S_S33/AAT1apft.fastq
ACC1pft	1918	fQsequences/12-0424-S_S33/ACC1pft.fastq
ADP1pft	3528	fQsequences/12-0424-S_S33/ADP1pft.fastq
MPIpft	3980	fQsequences/12-0424-S_S33/MPIpft.fastq
SYA1pft	3736	fQsequences/12-0424-S_S33/SYA1pft.fastq
VPS13pft	2327	fQsequences/12-0424-S_S33/VPS13pft.fastq
ZWF1bpft	3238	fQsequences/12-0424-S_S33/ZWF1bpft.fastq
unmatched	428	fQsequences/12-0424-S_S33/unmatched.fastq
total	22040
Barcode	Count	Location
AAT1aprt	2858	fQsequences/12-0424-S_S33/AAT1aprt.fastq
ACC1prt	1903	fQsequences/12-0424-S_S33/ACC1prt.fastq
ADP1prt	3507	fQsequences/12-0424-S_S33/ADP1prt.fastq
MPIprt	3989	fQsequences/12-0424-S_S33/MPIprt.fastq
SYA1prt	3701	fQsequences/12-0424-S_S33/SYA1prt.fastq
VPS13prt	2359	fQsequences/12-0424-S_S33/VPS13prt.fastq
ZWF1bprt	3210	fQsequences/12-0424-S_S33/ZWF1bprt.fastq
unmatched	513	fQsequences/12-0424-S_S33/unmatched.fastq
total	22040
Barcode	Count	Location
AAT1apft	23798	fQsequences/12-0425_S14/AAT1apft.fastq
ACC1pft	14225	fQsequences/12-0425_S14/ACC1pft.fastq
ADP1pft	3245	fQsequences/12-0425_S14/ADP1pft.fastq
MPIpft	28000	fQsequences/12-0425_S14/MPIpft.fastq
SYA1pft	24290	fQsequences/12-0425_S14/SYA1pft.fastq
VPS13pft	16535	fQsequences/12-0425_S14/VPS13pft.fastq
ZWF1bpft	22044	fQsequences/12-0425_S14/ZWF1bpft.fastq
unmatched	2405	fQsequences/12-0425_S14/unmatched.fastq
total	134542
Barcode	Count	Location
AAT1aprt	23545	fQsequences/12-0425_S14/AAT1aprt.fastq
ACC1prt	14035	fQsequences/12-0425_S14/ACC1prt.fastq
ADP1prt	3217	fQsequences/12-0425_S14/ADP1prt.fastq
MPIprt	27963	fQsequences/12-0425_S14/MPIprt.fastq
SYA1prt	24085	fQsequences/12-0425_S14/SYA1prt.fastq
VPS13prt	16522	fQsequences/12-0425_S14/VPS13prt.fastq
ZWF1bprt	21880	fQsequences/12-0425_S14/ZWF1bprt.fastq
unmatched	3295	fQsequences/12-0425_S14/unmatched.fastq
total	134542
Barcode	Count	Location
AAT1apft	3192	fQsequences/12-0425-S_S34/AAT1apft.fastq
ACC1pft	2016	fQsequences/12-0425-S_S34/ACC1pft.fastq
ADP1pft	3717	fQsequences/12-0425-S_S34/ADP1pft.fastq
MPIpft	3418	fQsequences/12-0425-S_S34/MPIpft.fastq
SYA1pft	3151	fQsequences/12-0425-S_S34/SYA1pft.fastq
VPS13pft	2261	fQsequences/12-0425-S_S34/VPS13pft.fastq
ZWF1bpft	2267	fQsequences/12-0425-S_S34/ZWF1bpft.fastq
unmatched	357	fQsequences/12-0425-S_S34/unmatched.fastq
total	20379
Barcode	Count	Location
AAT1aprt	3167	fQsequences/12-0425-S_S34/AAT1aprt.fastq
ACC1prt	1992	fQsequences/12-0425-S_S34/ACC1prt.fastq
ADP1prt	3702	fQsequences/12-0425-S_S34/ADP1prt.fastq
MPIprt	3416	fQsequences/12-0425-S_S34/MPIprt.fastq
SYA1prt	3139	fQsequences/12-0425-S_S34/SYA1prt.fastq
VPS13prt	2252	fQsequences/12-0425-S_S34/VPS13prt.fastq
ZWF1bprt	2259	fQsequences/12-0425-S_S34/ZWF1bprt.fastq
unmatched	452	fQsequences/12-0425-S_S34/unmatched.fastq
total	20379
Barcode	Count	Location
AAT1apft	16715	fQsequences/13-0099_S7/AAT1apft.fastq
ACC1pft	8904	fQsequences/13-0099_S7/ACC1pft.fastq
ADP1pft	18086	fQsequences/13-0099_S7/ADP1pft.fastq
MPIpft	16014	fQsequences/13-0099_S7/MPIpft.fastq
SYA1pft	15096	fQsequences/13-0099_S7/SYA1pft.fastq
VPS13pft	12020	fQsequences/13-0099_S7/VPS13pft.fastq
ZWF1bpft	13973	fQsequences/13-0099_S7/ZWF1bpft.fastq
unmatched	1837	fQsequences/13-0099_S7/unmatched.fastq
total	102645
Barcode	Count	Location
AAT1aprt	16547	fQsequences/13-0099_S7/AAT1aprt.fastq
ACC1prt	8748	fQsequences/13-0099_S7/ACC1prt.fastq
ADP1prt	17907	fQsequences/13-0099_S7/ADP1prt.fastq
MPIprt	16002	fQsequences/13-0099_S7/MPIprt.fastq
SYA1prt	14974	fQsequences/13-0099_S7/SYA1prt.fastq
VPS13prt	12062	fQsequences/13-0099_S7/VPS13prt.fastq
ZWF1bprt	13830	fQsequences/13-0099_S7/ZWF1bprt.fastq
unmatched	2575	fQsequences/13-0099_S7/unmatched.fastq
total	102645
Barcode	Count	Location
AAT1apft	9889	fQsequences/13-0099-S_S27/AAT1apft.fastq
ACC1pft	7152	fQsequences/13-0099-S_S27/ACC1pft.fastq
ADP1pft	11555	fQsequences/13-0099-S_S27/ADP1pft.fastq
MPIpft	10213	fQsequences/13-0099-S_S27/MPIpft.fastq
SYA1pft	8679	fQsequences/13-0099-S_S27/SYA1pft.fastq
VPS13pft	7384	fQsequences/13-0099-S_S27/VPS13pft.fastq
ZWF1bpft	9057	fQsequences/13-0099-S_S27/ZWF1bpft.fastq
unmatched	1179	fQsequences/13-0099-S_S27/unmatched.fastq
total	65108
Barcode	Count	Location
AAT1aprt	9780	fQsequences/13-0099-S_S27/AAT1aprt.fastq
ACC1prt	6993	fQsequences/13-0099-S_S27/ACC1prt.fastq
ADP1prt	11459	fQsequences/13-0099-S_S27/ADP1prt.fastq
MPIprt	10124	fQsequences/13-0099-S_S27/MPIprt.fastq
SYA1prt	8614	fQsequences/13-0099-S_S27/SYA1prt.fastq
VPS13prt	7365	fQsequences/13-0099-S_S27/VPS13prt.fastq
ZWF1bprt	8924	fQsequences/13-0099-S_S27/ZWF1bprt.fastq
unmatched	1849	fQsequences/13-0099-S_S27/unmatched.fastq
total	65108
Barcode	Count	Location
AAT1apft	11377	fQsequences/13-0188_S3/AAT1apft.fastq
ACC1pft	6475	fQsequences/13-0188_S3/ACC1pft.fastq
ADP1pft	14346	fQsequences/13-0188_S3/ADP1pft.fastq
MPIpft	9794	fQsequences/13-0188_S3/MPIpft.fastq
SYA1pft	10080	fQsequences/13-0188_S3/SYA1pft.fastq
VPS13pft	8629	fQsequences/13-0188_S3/VPS13pft.fastq
ZWF1bpft	8630	fQsequences/13-0188_S3/ZWF1bpft.fastq
unmatched	1224	fQsequences/13-0188_S3/unmatched.fastq
total	70555
Barcode	Count	Location
AAT1aprt	11271	fQsequences/13-0188_S3/AAT1aprt.fastq
ACC1prt	6405	fQsequences/13-0188_S3/ACC1prt.fastq
ADP1prt	14242	fQsequences/13-0188_S3/ADP1prt.fastq
MPIprt	9784	fQsequences/13-0188_S3/MPIprt.fastq
SYA1prt	10001	fQsequences/13-0188_S3/SYA1prt.fastq
VPS13prt	8623	fQsequences/13-0188_S3/VPS13prt.fastq
ZWF1bprt	8613	fQsequences/13-0188_S3/ZWF1bprt.fastq
unmatched	1616	fQsequences/13-0188_S3/unmatched.fastq
total	70555
Barcode	Count	Location
AAT1apft	17229	fQsequences/13-0188-S_S23/AAT1apft.fastq
ACC1pft	10443	fQsequences/13-0188-S_S23/ACC1pft.fastq
ADP1pft	21143	fQsequences/13-0188-S_S23/ADP1pft.fastq
MPIpft	20791	fQsequences/13-0188-S_S23/MPIpft.fastq
SYA1pft	19760	fQsequences/13-0188-S_S23/SYA1pft.fastq
VPS13pft	14725	fQsequences/13-0188-S_S23/VPS13pft.fastq
ZWF1bpft	16605	fQsequences/13-0188-S_S23/ZWF1bpft.fastq
unmatched	2102	fQsequences/13-0188-S_S23/unmatched.fastq
total	122798
Barcode	Count	Location
AAT1aprt	17116	fQsequences/13-0188-S_S23/AAT1aprt.fastq
ACC1prt	10305	fQsequences/13-0188-S_S23/ACC1prt.fastq
ADP1prt	21008	fQsequences/13-0188-S_S23/ADP1prt.fastq
MPIprt	20783	fQsequences/13-0188-S_S23/MPIprt.fastq
SYA1prt	19640	fQsequences/13-0188-S_S23/SYA1prt.fastq
VPS13prt	14742	fQsequences/13-0188-S_S23/VPS13prt.fastq
ZWF1bprt	16516	fQsequences/13-0188-S_S23/ZWF1bprt.fastq
unmatched	2688	fQsequences/13-0188-S_S23/unmatched.fastq
total	122798
Barcode	Count	Location
AAT1apft	14238	fQsequences/13-0189_S4/AAT1apft.fastq
ACC1pft	9102	fQsequences/13-0189_S4/ACC1pft.fastq
ADP1pft	15913	fQsequences/13-0189_S4/ADP1pft.fastq
MPIpft	17061	fQsequences/13-0189_S4/MPIpft.fastq
SYA1pft	16235	fQsequences/13-0189_S4/SYA1pft.fastq
VPS13pft	11364	fQsequences/13-0189_S4/VPS13pft.fastq
ZWF1bpft	14166	fQsequences/13-0189_S4/ZWF1bpft.fastq
unmatched	1822	fQsequences/13-0189_S4/unmatched.fastq
total	99901
Barcode	Count	Location
AAT1aprt	14132	fQsequences/13-0189_S4/AAT1aprt.fastq
ACC1prt	8988	fQsequences/13-0189_S4/ACC1prt.fastq
ADP1prt	15812	fQsequences/13-0189_S4/ADP1prt.fastq
MPIprt	17075	fQsequences/13-0189_S4/MPIprt.fastq
SYA1prt	16100	fQsequences/13-0189_S4/SYA1prt.fastq
VPS13prt	11375	fQsequences/13-0189_S4/VPS13prt.fastq
ZWF1bprt	14124	fQsequences/13-0189_S4/ZWF1bprt.fastq
unmatched	2295	fQsequences/13-0189_S4/unmatched.fastq
total	99901
Barcode	Count	Location
AAT1apft	20930	fQsequences/13-0189-S_S24/AAT1apft.fastq
ACC1pft	12405	fQsequences/13-0189-S_S24/ACC1pft.fastq
ADP1pft	23231	fQsequences/13-0189-S_S24/ADP1pft.fastq
MPIpft	21164	fQsequences/13-0189-S_S24/MPIpft.fastq
SYA1pft	20714	fQsequences/13-0189-S_S24/SYA1pft.fastq
VPS13pft	16103	fQsequences/13-0189-S_S24/VPS13pft.fastq
ZWF1bpft	18664	fQsequences/13-0189-S_S24/ZWF1bpft.fastq
unmatched	2348	fQsequences/13-0189-S_S24/unmatched.fastq
total	135559
Barcode	Count	Location
AAT1aprt	20818	fQsequences/13-0189-S_S24/AAT1aprt.fastq
ACC1prt	12256	fQsequences/13-0189-S_S24/ACC1prt.fastq
ADP1prt	23060	fQsequences/13-0189-S_S24/ADP1prt.fastq
MPIprt	21157	fQsequences/13-0189-S_S24/MPIprt.fastq
SYA1prt	20537	fQsequences/13-0189-S_S24/SYA1prt.fastq
VPS13prt	16139	fQsequences/13-0189-S_S24/VPS13prt.fastq
ZWF1bprt	18607	fQsequences/13-0189-S_S24/ZWF1bprt.fastq
unmatched	2985	fQsequences/13-0189-S_S24/unmatched.fastq
total	135559
Barcode	Count	Location
AAT1apft	11829	fQsequences/13-0190_S5/AAT1apft.fastq
ACC1pft	7352	fQsequences/13-0190_S5/ACC1pft.fastq
ADP1pft	14164	fQsequences/13-0190_S5/ADP1pft.fastq
MPIpft	12986	fQsequences/13-0190_S5/MPIpft.fastq
SYA1pft	12779	fQsequences/13-0190_S5/SYA1pft.fastq
VPS13pft	9732	fQsequences/13-0190_S5/VPS13pft.fastq
ZWF1bpft	11062	fQsequences/13-0190_S5/ZWF1bpft.fastq
unmatched	1511	fQsequences/13-0190_S5/unmatched.fastq
total	81415
Barcode	Count	Location
AAT1aprt	11741	fQsequences/13-0190_S5/AAT1aprt.fastq
ACC1prt	7246	fQsequences/13-0190_S5/ACC1prt.fastq
ADP1prt	14126	fQsequences/13-0190_S5/ADP1prt.fastq
MPIprt	12935	fQsequences/13-0190_S5/MPIprt.fastq
SYA1prt	12718	fQsequences/13-0190_S5/SYA1prt.fastq
VPS13prt	9730	fQsequences/13-0190_S5/VPS13prt.fastq
ZWF1bprt	11022	fQsequences/13-0190_S5/ZWF1bprt.fastq
unmatched	1897	fQsequences/13-0190_S5/unmatched.fastq
total	81415
Barcode	Count	Location
AAT1apft	22361	fQsequences/13-0190-S_S25/AAT1apft.fastq
